feature,mean,std,variance,min,max,range,median,q25,q75,iqr,lag_1_correlation,lag_2_correlation,lag_3_correlation,lag_4_correlation,lag_5_correlation,serial_correlation,skewness,kurtosis,is_normal,autocorr_lag1,autocorr_lag2,autocorr_lag3,trend,rolling_mean_diff,rolling_std_diff
Raw_Flow,2676.9465441858697,239.32332985913078,57275.65621486232,1558.584,3812.262,2253.678,2696.7005,2502.5,2836.25,333.75,0.7848366581840361,0.6297754571553592,0.534046423087778,0.4701199613144608,0.42198723686377415,0.7848366581840361,-0.01371448200644237,0.8382937715261538,7.304833702851433e-173,0.7848222505198152,0.6297588179160796,0.53403078330924,0.0031871368337556016,-78.77168476690258,13.194651860027562
Raw_temperature,13.39547821569206,5.023040393838319,25.230934798131415,5.129166666666666,23.11116666666667,17.982000000000003,12.315,9.056916666666668,18.086666666666666,9.029749999999998,0.9999401440055599,0.9998354849311115,0.9997097791896383,0.9995704255909765,0.9994231983347722,0.9999401440055599,0.2675971788698911,-1.2774407289736138,0.0,0.9999265658033906,0.9998084333811065,0.9996693222781353,2.284500795172572e-05,0.4383927535378991,0.5198809429119464
Raw_electrical conductivity,189.460705029421,35.27650722056446,1244.4319616825364,94.0043391343932,272.2913551638566,178.28701602946342,194.7612608161572,165.23424019637284,216.74460586709995,51.51036567072711,0.9959585037538803,0.9927367521044014,0.9906612856251982,0.9889460922336639,0.9876654080321466,0.9959585037538803,-0.4466573900786938,-0.4926009956414559,0.0,0.9959371313205141,0.9926941081357138,0.9905975079763457,-0.00022287167831394982,4.225439559321046,3.573469997660581
Raw_turbidity,2.613440130782774,4.347092087416294,18.897209616477348,0.325,53.01005,52.68505,1.2525000000000002,0.985,1.9852750000000001,1.0002750000000002,0.9990640473440443,0.9980806316277887,0.9971699897645547,0.9963732135733814,0.9956589546944322,0.9990640473440443,5.238239616820859,36.98869605261964,0.0,0.9990628687566369,0.9980780917346977,0.9971662260246786,-5.021684558626746e-06,0.02322162846290432,-1.7221185079773367
Raw_alkalinity,35.69867811659134,8.149534365561248,66.41491037546378,10.34405,55.52791666666666,45.18386666666666,35.920833333333334,31.073791666666665,41.7890625,10.715270833333335,0.9940520869711672,0.9904626451933458,0.989397282399074,0.9887372716179988,0.987805880440368,0.9940520869711672,-0.7299982002422851,0.5443315653253578,0.0,0.9940510960669585,0.9904615564139173,0.9893950988464637,-0.00027536084033576847,8.494863039783947,-0.8706944108720025
Raw_pH,7.189004332267105,0.27511224383305977,0.07568674670686093,6.432666666666666,7.783666666666666,1.351,7.2195,6.965629166666666,7.4,0.43437083333333426,0.9989731145012152,0.997840822164955,0.9968351865155282,0.9958656697217755,0.9949452071044496,0.9989731145012152,-0.26358936691805196,-0.6156262451013093,0.0,0.9989633991185709,0.9978211230910455,0.9968056269022744,-1.0634352931781559e-06,0.009137197756001747,0.06436506991357083
Raw_TOC,2.1899051185982032,0.5281641302711421,0.2789573485050719,0.64790344,3.865,3.2170965600000003,2.0596698,1.78625,2.5717291666666666,0.7854791666666667,0.989954886146201,0.979558074972323,0.9739137782598971,0.9698253896078229,0.9665670253251112,0.989954886146201,0.6756885458314612,-0.04960335614464828,0.0,0.98994544481265,0.9795393903082755,0.9738859122988749,1.556809208185279e-05,-0.4490030895458039,-0.10582058961203589
PAC,15.333496018562059,5.108678840685678,26.098599497269564,7.186741857833332,45.82000000000001,38.633258142166675,13.950339705333333,12.007359021041667,16.220394830125,4.2130358090833315,0.998204153279851,0.9965960896581275,0.9953590792511384,0.9942702230732678,0.9933025113742867,0.998204153279851,1.8689414096530979,4.304935693737416,0.0,0.9981891776862608,0.9965663941511967,0.9953143068931217,0.00013197812483375877,-3.4937145075015614,-1.8745643063174935
Pre_chlorine,1.2753325773367148,0.45198485471226224,0.2042903088892648,0.58165,3.095,2.51335,1.013466568683333,1.0025666666666666,1.4970208333333335,0.49445416666666686,0.9946740481067943,0.9868531976082128,0.9787426249531948,0.9704426701149426,0.9623212146764065,0.9946740481067943,1.5635355871250187,1.734444585677772,0.0,0.9946262284119373,0.9867537986613564,0.9785926836134697,-1.2227448333107748e-06,-0.004267760901744966,-0.0648312096089898
Sed_chlorine,0.9840604617437259,0.2507013058384583,0.06285114474910819,0.282,2.2820666666666667,2.0000666666666667,0.97215,0.8289291666666666,1.1434458333333333,0.31451666666666667,0.9767618628159951,0.9553109751694895,0.9385126181808215,0.9219630305990958,0.9059814515663329,0.9767618628159951,0.15725998066654642,0.05356725663625106,1.4758997858382695e-48,0.976749458897519,0.9552857831439537,0.9384819041482021,-1.731425814797681e-06,0.025906998600895403,0.10032544997936871
Sed_turbidity,0.28430171205457105,0.15721951874181553,0.024717977073408087,0.0563499999999999,1.65,1.59365,0.235,0.20314999999999997,0.30900833333333333,0.10585833333333336,0.9812074517159908,0.9638580617144751,0.9501464227681213,0.9383035249161171,0.9275135345853062,0.9812074517159908,2.416800575498016,7.535363749814026,0.0,0.9812073743678903,0.9638579094854297,0.9501461861550504,-2.0481918256304712e-06,0.06405004996155178,0.03782245865714537
Mid_chlorine,0.9385802265508293,0.2880040178411975,0.0829463142926728,0.109,2.1301666666666668,2.021166666666667,0.880525,0.752248112025,1.1899733076749999,0.4377251956499999,0.9849580762245799,0.9683390163765063,0.9528086527557748,0.9363573480667586,0.9192313046449401,0.9849580762245799,0.25104266055134844,-0.2654008994082804,6.182253008116623e-162,0.9848926114811772,0.9682108789483512,0.9526198329145834,-4.962195034431443e-06,0.11376339248868439,0.06086899142810459
